symbol,total_supply_usd,total_debt_usd,total_activity_usd,supplier_users,borrower_users,active_users,debt_from_high_loopers_usd,debt_from_extreme_loopers_usd,debt_from_low_hf_users_usd,supply_from_high_loopers_usd,supply_from_extreme_loopers_usd,supply_from_low_hf_users_usd,equity_backed_supply_usd,debt_high_loop_share,debt_extreme_loop_share,debt_low_hf_share,supply_high_loop_share,supply_extreme_loop_share,supply_low_hf_share,equity_backing_ratio,synthetic_or_looped_supply_ratio,looping_activity_score,healthy_collateral_score
PT-USDe-31JUL2025,1307269986.2087696,0.0,1307269986.2087696,63,0,63,0.0,0.0,0.0,282347.9797275962,282347.97972755524,282348.0593150149,857461358.3489616,0.0,0.0,0.0,0.00021598291302199726,0.0002159829130219659,0.000215982973902626,0.655917574330377,0.344082425669623,0.00021598291302199726,0.6556342709112895
sUSDe,809038884.51,0.0,809038884.51,1732,0,1732,0.0,0.0,0.0,404726139.01169336,194570984.05407462,233229079.3786872,183018690.4255666,0.0,0.0,0.0,0.5002554843291847,0.24049645546013265,0.2882791962711953,0.22621742159700167,0.7737825784029984,0.5002554843291847,0.12228283914980236
PT-USDe-25SEP2025,643275359.4907851,0.0,643275359.4907851,102,0,102,0.0,0.0,0.0,118116522.00277102,117845152.5600711,117845158.68765433,153636394.66304466,0.0,0.0,0.0,0.18361735804130863,0.18319550223928516,0.18319551176488436,0.2388345712241532,0.7611654287758468,0.18361735804130863,0.15934316052093245
PYUSD,609225983.43107,26352614.251924,635578597.682994,467,273,724,185114.25610300002,0.0,2058861.0169940002,1251887.150008,1100562.795428,2302664.1771969995,272826559.5032582,0.007024512040185344,0.0,0.07812739173851349,0.0020548814135561947,0.0018064935268023111,0.003779655234382385,0.44782489080117643,0.5521751091988236,0.0022609342280397707,0.4453263320559438
DAI,405477331.7630192,102499346.93321161,507976678.6962308,2637,611,3200,37482.39087605865,0.0,120593.60848176104,691509.3079500927,568149.7037031667,2665833.6268170364,238863173.0713523,0.0003656841921196055,0.0,0.001176530505704974,0.001705420386741236,0.0014011873394570455,0.006574556499190638,0.5890913113016035,0.4109086886983965,0.0014350889113594269,0.5843982967234244
LINK,400422003.85102034,9081164.725895995,409503168.57691634,4772,272,4969,81195.45874610946,0.0,235173.89377107538,14349454.729009563,298809.08533159585,22604294.821488548,206006949.10251918,0.00894108423279353,0.0,0.02589688667362786,0.03583582967720319,0.0007462354277682746,0.05645118051479166,0.5144745971032237,0.48552540289677626,0.035239410327163774,0.4850696522712574
USDS,306975438.18326104,16074929.784906335,323050367.96816736,491,78,559,190840.38340545812,72051.34443268111,1026375.145375091,3914909.2986483546,1310355.4286607706,3799478.3253573156,68925034.17430466,0.011871926407084465,0.0044822182987283845,0.06384943257038751,0.012753167881500655,0.004268600238558834,0.012377141141465096,0.22452947565517328,0.7754705243448268,0.012709317459927436,0.22080387865219692
USDTB,181124838.1927595,139255106.49894947,320379944.691709,60,332,382,43653828.856016375,42027430.78702215,60487572.895918675,1000.0,0.0,186842.6516810221,111043561.26937416,0.31348099149488423,0.30180172091096136,0.43436520510201176,5.521053931519675e-06,0.0,0.0010315683566390684,0.6130774905162242,0.3869225094837758,0.13625955550377528,0.6124450591768399
osETH,320137185.406024,278.6345318786679,320137464.04055583,293,3,295,18.88298277913087,18.88298277913087,18.88298277913087,315342343.2555305,282519055.16344094,282519193.20041704,27366871.268033594,0.06776971487279083,0.06776971487279083,0.06776971487279083,0.9850225391829684,0.88249371845113,0.8824941496318313,0.08548482499252533,0.9145151750074747,0.9850217408436923,0.0011803467268341398
GHO,165000000.0,95562569.48057732,260562569.48057732,1,1428,1429,1948474.8139013862,939999.848287656,3968676.633158387,0.0,0.0,0.0,0.0,0.020389518872212884,0.009836485701430484,0.04152961410236048,0.0,0.0,0.0,0.0,1.0,0.007477953636186521,0.0
PT-sUSDE-31JUL2025,221452331.38073426,0.0,221452331.38073426,132,0,132,0.0,0.0,0.0,2087257.5938055876,2087153.3891522528,2087156.3906930485,21075611.844518792,0.0,0.0,0.0,0.009425313252706506,0.009424842701537841,0.009424856255428996,0.09516997049935917,0.9048300295006408,0.009425313252706506,0.093384498943637
tBTC,220543725.66395727,864705.0675739903,221408430.73153126,566,21,581,0.0,0.0,13447.746109714271,324878.3511412223,20069.868682280205,1012240.0200885523,126514722.75874868,0.0,0.0,0.015551829882809825,0.0014730790919721733,9.100176675558972e-05,0.004589747529843146,0.5736491590403225,0.42635084095967746,0.0014673260185613865,0.5709642907416396
