rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k,days_to_liq_post_change_flat_observed,hf_7d_post_change_flat_observed,hf_30d_post_change_flat_observed,days_to_liq_pre_change_regime_observed_peak,hf_7d_pre_change_regime_observed_peak,hf_30d_pre_change_regime_observed_peak,days_to_liq_hypothetical_re_steepen_12,hf_7d_hypothetical_re_steepen_12,hf_30d_hypothetical_re_steepen_12,days_to_liq_hypothetical_crisis_20,hf_7d_hypothetical_crisis_20,hf_30d_hypothetical_crisis_20
2186,0x4cc4196a23c5267d333e77a796ca237a97deb624,4.406417941302496,False,8048.90675105,42731.14110325,0.0,0.83,0.0,3.3608503554996183,7838.027547697754,0.9738002675550023,0.9738002675550023,False,inf,4.402144726959874,4.388131950196941,inf,4.399563546589674,4.377116543995564,inf,4.396842128210333,4.365525012138165,2990.761317190852,4.391180426161229,4.34148311829272
2187,0x98a60e06fa4931ae0d68defbf00f51efe3896b44,4.434339015829223,False,586.94869439,3263.31941297,1000.32986807,0.7975,0.4864,0.25,583.0390168125,0.993338979002989,0.993338979002989,False,inf,4.430152834688995,4.416425686249582,inf,4.427503075512061,4.405116134296993,inf,4.424709419980543,4.393216309318897,2987.1708568742306,4.418897656431818,4.368539030539244
2188,0xba8dd0ca7d57d89cd0a365251a248685f4245336,4.440977420830568,False,21682.31311398,123375.4065074,68492.77150227,0.7804,0.7309,6.4994744859914455,15157.788856441524,0.6990854147691609,0.6990854147691609,False,inf,4.435064519664723,4.415680427248583,inf,4.433198015393364,4.407729591528437,inf,4.431229432590639,4.399350687010387,3269.3567747585125,4.427131743412032,4.3819319859357035
2189,0x4b0429f3db75dba6b82c32a200c9c298ffc05839,4.488824107633718,False,10.13072203,56.8348191,13.06356764,0.8001,0.4081,0.004238813764363386,9.885575238502883,0.975801646637706,0.975801646637706,False,inf,4.484482810042071,4.4702467936363135,inf,4.481847943154863,4.4590021249518665,inf,4.479069928304627,4.447169465747643,3026.367705638916,4.473290504290724,4.422627863643889
2190,0x50edf8a5a4d29291e006b26ab35378952d6ebca8,4.504737375202621,False,4.20248111,22.80852256,0.0,0.83,0.0,0.0017305099732893708,4.035819333643442,0.9603420522319592,0.9603420522319592,False,inf,4.500288970382885,4.485701596329047,inf,4.497686736579197,4.474597343659034,inf,4.494943075180912,4.462911481946072,3046.665117642911,4.489234947818202,4.438671204093621
2191,0xa7e470712625ca34383908d1a430aca10bda6dfe,4.508461556345728,False,5.95713101,32.35842909,0.0,0.83,0.0,0.0024917698135115025,5.8111960887712515,0.9755024824896794,0.9755024824896794,False,inf,4.504099490345409,4.489795366980395,inf,4.501453909543358,4.47850499776353,inf,4.498664597675474,4.466624229410745,3035.404675114314,4.49286166777632,4.441982784409867
2192,0xf966f7bfbe6bcbee2910dcc6656322961eea88a8,4.512429528597861,False,2.33694442,14.06039601,0.0,0.75,0.0,0.001,2.33215606725,0.9979510198406859,0.9979510198406859,False,inf,4.508197037621449,4.494318100489431,inf,4.505488070296428,4.482755482495813,inf,4.502632007606918,4.470589681866238,3018.3240252081805,4.496690469379198,4.445361811271152
2193,0x9f47800b40f2663e25e820e491b0106e904b06aa,4.514182941010909,False,2323.51996202,13395.58657711,742.72980548,0.783,0.2289,1.0,2332.15606725,1.0037168198987592,1.0,False,inf,4.5099609878408025,4.496116637848311,inf,4.5072453923876274,4.484525570101954,inf,4.504382348932389,4.47232996854252,3017.3987350477923,4.498426312339803,4.447040735075487
2194,0x07f54bdfbf3c5220027badcdae9fed73a2209b27,4.5198724643147425,False,354.15509321,2065.42514939,422.65130547,0.775,0.3761,0.15000000000000002,349.82341008750006,0.9877689656154925,0.9877689656154925,False,inf,4.515572378270103,4.501471641012156,inf,4.512886683382532,4.490009137931611,inf,4.510055121101053,4.477948021528934,3030.1381313702936,4.504164434239923,4.45293509630401
2195,0x8a9f4905f26c97d11a3f8c7e8c9b5e3730d216bb,4.521953286506834,False,4862.65813252,27856.31255673,15556.01897156,0.7893,0.733,0.95,2215.5482638875,0.45562492848727676,0.45562492848727676,False,inf,4.514484167939576,4.490015925194239,inf,4.513246116194046,4.484750710069361,inf,4.511939962212154,4.479194844776867,3618.571448013446,4.509219850239937,4.46762126830969
